 num_hrefs, num_imgs, num_videos,shares
4,1,0,593
3,1,0,1500
3,1,0,711
9,1,0,1200
19,20,0,505
2,0,0,855
21,20,0,556
20,20,0,891
2,0,0,3600
4,1,1,710
11,1,0,2200
7,1,0,1900
18,11,0,823
4,0,21,10000
19,9,0,761
10,1,0,1600
26,12,1,13600
11,1,0,3100
3,1,0,5700
24,42,0,17100
21,20,0,2800
9,1,1,598
20,20,0,445
1,1,0,1500
3,1,0,852
5,1,0,783
5,1,0,1500
22,28,0,1800
1,0,0,462
18,1,0,425
8,1,1,3200
2,19,0,3900
0,14,0,480
5,1,0,573
7,1,0,3600
4,1,0,343
27,20,0,7700
9,0,1,2600
8,1,0,504
4,0,1,2100
21,20,0,1100
0,1,0,401
24,42,0,4200
19,20,0,1200
20,20,0,1500
2,1,0,575
25,20,0,507
5,0,6,1200
21,20,0,695
20,20,0,1200
2,0,1,4900
21,20,0,382
21,20,0,400
5,1,0,4600
21,20,0,2400
7,1,0,1600
11,1,0,1100
7,0,0,1300
9,23,0,819
5,10,1,585
19,19,0,536
3,1,0,834
22,20,0,645
1,4,0,598
21,20,0,217
3,1,0,3200
1,1,1,545
7,1,0,1800
4,1,0,1200
3,1,0,732
8,1,0,1200
4,1,0,2800
3,1,0,495
14,11,0,690
19,20,0,1300
7,1,0,552
3,12,1,631
10,1,1,4800
15,1,0,851
5,0,0,755
8,1,0,468
4,9,0,4600
5,1,0,1300
14,1,0,1200
5,9,0,1100
20,20,0,1500
20,16,0,2400
3,1,0,1200
3,1,1,1700
21,20,0,1200
20,20,0,500
6,13,0,455
1,0,0,1100
17,1,0,459
26,1,0,1400
5,1,0,6400
6,11,0,4800
20,19,0,695
32,1,0,341
3,0,11,1900
3,0,1,1200
23,19,0,450
19,19,0,663
36,19,0,302
7,1,0,971
1,10,0,1400
5,1,0,1000
5,0,0,1900
10,1,0,1100
24,20,0,1100
3,8,1,1500
5,1,0,2000
2,0,1,5700
5,10,1,7100
28,20,0,1200
2,0,0,705
7,1,0,1900
13,11,0,3800
10,1,0,2300
2,0,0,575
8,1,0,1800
5,0,0,1600
6,1,0,1900
9,1,1,5600
12,1,0,1500
3,1,0,9200
5,1,11,1700
4,8,0,6000
2,11,0,752
5,0,3,19400
7,1,0,1700
20,19,0,1600
19,20,0,788
1,0,0,454
23,28,0,1100
11,1,1,2800
13,11,1,1600
28,10,1,2000
2,1,0,412
4,0,0,1100
31,26,0,417
19,8,0,1600
3,1,0,2500
8,1,0,474
6,1,0,2100
1,0,1,513
10,1,0,10400
32,15,0,2200
10,1,0,5600
11,1,0,373
9,1,0,1000
2,0,0,3200
4,0,1,657
2,1,0,2100
3,1,0,727
3,13,0,350
3,1,0,1900
22,20,0,1200
4,1,0,2800
10,1,0,341
12,1,0,648
2,9,0,1300
21,20,0,1000
20,20,0,1300
8,1,0,1700
5,0,0,4600
8,1,0,2700
21,19,0,1700
7,1,1,450
4,0,0,939
2,1,0,1600
21,19,0,866
3,1,0,606
5,8,0,5000
34,15,0,11500
9,1,0,529
1,0,1,28000
26,20,0,1700
12,1,0,761
7,0,0,958
12,1,0,904
9,0,16,1200
2,1,0,4500
5,1,0,1200
8,1,0,427
5,1,1,1300
9,1,0,3200
4,1,0,377
5,0,0,3400
7,1,0,972
5,0,21,979
10,1,0,737
23,20,0,3800
45,19,0,396
8,1,0,1700
4,1,3,676
10,0,0,2900
6,1,0,2500
5,0,0,1400
16,11,0,484
12,6,0,7500
6,1,0,441
8,0,0,922
11,1,0,473
4,0,0,3200
6,1,0,1600
3,0,21,1300
27,20,0,1300
11,1,0,5600
6,10,0,8100
6,1,0,5500
15,10,1,3800
10,1,0,933
12,1,0,2500
12,1,0,1700
7,1,0,2400
8,1,0,11400
9,1,0,308
38,15,0,1400
4,0,1,762
7,1,1,1200
2,0,1,657
38,11,3,1200
14,1,0,11800
29,20,0,2400
7,0,1,794
21,20,0,1500
5,1,0,1300
12,1,0,1200
7,5,0,1900
3,1,0,1500
3,1,0,698
6,0,11,1100
5,1,0,742
3,1,0,2000
19,1,0,1000
4,1,0,1500
6,1,0,1200
6,1,11,751
11,1,0,775
6,1,0,569
6,1,0,3000
3,1,0,1500
3,0,1,1100
2,0,1,979
2,0,1,802
23,19,0,2300
19,34,0,835
6,1,0,2000
2,0,1,12000
2,1,1,423
2,0,1,1000
7,1,0,1600
4,0,21,1400
13,1,0,2400
2,0,0,1200
14,1,0,1500
2,0,0,1400
4,1,0,1000
2,1,0,400
13,1,0,1700
4,0,12,3200
8,1,0,1100
7,0,0,4400
4,0,21,1400
7,1,0,924
11,1,0,1900
10,1,0,1300
53,19,0,1300
5,1,0,1800
2,0,0,37400
4,1,1,18000
3,13,0,2500
4,1,0,18200
8,1,0,924
5,1,0,730
13,1,0,3500
3,1,0,1900
8,1,0,614
2,18,0,2900
24,1,0,1600
45,1,1,1100
5,0,0,1100
10,7,0,2200
3,0,7,582
6,0,1,1000
3,1,0,1700
5,1,0,720
1,0,1,19800
13,1,0,1500
23,28,0,3000
22,33,0,2500
6,0,11,4400
4,1,0,1400
11,1,0,1600
7,1,0,2100
3,1,0,1100
21,25,0,2100
4,19,1,840
23,20,0,1100
9,1,0,1600
8,0,0,2100
4,1,0,2200
5,0,0,9000
4,0,11,622
3,1,0,1000
16,26,0,658
1,0,0,1400
4,4,0,1500
3,7,0,2300
4,1,10,5200
4,1,0,5300
9,1,0,1600
18,11,0,6300
1,21,0,2000
4,1,0,2300
56,1,0,1900
6,1,0,1700
12,26,0,1600
20,1,0,1400
8,0,0,2100
21,20,0,3400
1,0,0,1000
20,20,0,1800
14,1,0,25200
21,19,0,15700
6,0,0,1700
5,0,1,2700
11,11,0,5400
31,20,0,1300
26,20,1,3800
12,1,0,7900
18,1,0,731
14,9,0,1900
16,1,0,3100
13,11,0,1900
30,20,0,9700
4,0,0,3400
3,1,2,894
44,16,2,1300
5,1,0,2100
13,1,0,12100
4,1,10,1400
16,7,0,3700
11,6,0,2200
4,1,0,1300
8,1,0,1600
7,1,0,1400
19,6,0,14300
22,11,0,33100
41,12,0,3400
2,0,1,5400
14,10,0,5600
7,0,0,618
2,6,0,2300
4,18,0,8000
6,1,0,630
6,0,1,2900
3,1,0,5800
6,1,0,2000
7,10,0,1900
7,1,0,909
7,1,0,705
10,1,0,2700
7,1,0,699
11,1,1,2100
7,1,0,1900
1,1,0,636
4,0,1,432
9,1,0,3000
9,1,0,621
4,0,0,5300
8,1,0,1600
6,0,0,1700
5,1,0,649
3,1,0,476
3,0,1,1300
22,1,0,1900
5,1,0,1800
13,1,0,1700
19,1,0,586
4,1,0,1100
3,1,0,992
7,1,1,950
4,0,1,903
5,1,0,1500
8,12,0,1700
6,1,0,1600
20,0,0,1500
21,16,0,1200
3,1,1,1300
10,1,1,1300
3,1,0,862
12,1,1,1200
25,19,0,2600
8,12,0,4900
16,27,0,1900
11,26,0,2700
17,1,0,1100
9,1,0,3000
4,0,10,727
8,1,0,1100
8,1,0,498
6,1,0,1300
16,13,0,1300
3,5,0,1400
12,14,1,884
3,1,0,1200
30,26,0,645
2,0,21,429
8,1,1,39400
11,1,0,811
3,1,0,5200
3,1,0,756
7,1,0,498
70,26,0,2200
8,0,0,1300
8,0,0,440
9,1,0,983
7,1,0,2800
5,1,0,1200
11,42,0,1300
8,1,0,423
6,0,1,735
3,0,2,1100
6,1,0,718
28,9,0,1400
14,11,0,1100
7,0,12,544
8,1,0,2400
13,1,0,6000
3,1,0,1200
4,1,0,2300
12,1,0,581
9,1,0,6800
7,1,1,752
11,1,0,866
7,0,26,5000
17,1,0,1200
5,0,0,3200
11,0,0,442
4,1,0,2900
8,1,0,1100
3,1,0,2200
8,0,0,1900
7,0,1,2400
3,1,2,730
12,11,0,5900
11,1,0,458
7,1,0,2100
4,1,0,1600
3,1,0,462
3,0,1,2500
3,1,1,1900
20,9,0,593
9,1,0,1300
5,1,0,8900
5,1,0,5400
6,1,0,1100
4,0,1,3800
5,1,0,725
1,1,0,787
11,1,1,5500
5,1,0,1900
7,1,1,463
2,1,0,368
5,0,0,1300
5,0,1,957
13,11,0,1200
7,1,0,484
2,1,0,17100
3,1,0,2300
2,10,0,2300
1,0,1,3100
8,1,0,2400
12,1,0,1100
15,1,0,568
7,0,0,4200
4,0,0,2200
6,0,1,968
5,1,0,1800
4,1,0,2000
8,1,0,768
4,1,0,635
4,1,0,1000
5,17,0,4800
16,1,0,685
15,1,9,1500
24,10,0,6300
10,0,1,2000
8,1,0,902
14,1,0,1200
4,13,0,1700
6,0,0,1000
34,20,0,824
6,1,2,5100
13,1,0,2500
5,0,12,2900
4,1,0,933
18,15,1,480
4,0,0,3200
6,0,0,1000
5,1,1,660
17,1,0,1800
5,1,0,2600
12,1,0,757
11,1,0,1300
18,15,1,514
19,1,0,2100
6,1,0,1200
2,5,0,1900
3,16,0,2600
11,1,0,615
5,0,0,504
4,5,0,1300
6,1,0,1400
32,1,0,1300
6,1,0,2200
2,1,0,1400
8,1,0,2500
8,1,0,1500
13,1,0,416
23,16,1,900
33,1,0,529
5,1,0,354
7,0,0,483
8,0,0,575
3,0,21,1700
3,0,11,3400
23,1,0,10400
9,1,0,2500
3,1,0,1600
7,1,0,1200
11,1,0,2100
4,1,0,6400
8,1,0,1200
9,1,0,17300
7,1,0,1300
7,1,0,1400
28,21,0,2100
18,9,0,1900
10,1,0,560
3,0,0,2900
16,1,0,1600
4,0,0,11400
6,0,0,4500
5,1,0,782
10,1,0,1300
4,0,2,1200
2,0,0,811
2,1,0,2200
3,1,0,4100
13,1,0,1900
26,22,0,9100
3,9,0,1500
9,1,0,3400
2,0,1,460
4,0,0,554
6,0,0,638
4,1,0,712
2,1,0,1500
7,1,0,2200
8,1,0,438
11,1,0,3100
4,2,1,51900
7,1,0,935
5,1,0,832
2,0,0,804
4,1,0,3500
5,22,0,864
6,0,0,3000
5,1,0,1200
2,1,0,847
4,1,0,917
28,21,0,1200
5,1,0,673
11,1,0,938
5,1,0,358
1,0,0,1200
6,1,0,2100
9,1,6,672
6,1,0,2300
28,11,1,1100
15,10,1,1100
8,1,0,1100
2,1,0,1800
7,1,0,610
10,1,0,870
11,1,0,835
6,1,0,1200
4,0,1,2400
5,1,0,1100
9,1,0,1300
15,1,0,793
16,1,0,3500
4,1,0,2500
5,13,1,704
4,0,0,4800
11,1,0,12300
29,15,1,833
3,11,0,4900
7,0,0,2900
5,1,0,844
20,1,1,744
14,9,0,1600
3,1,0,690
14,1,0,998
11,1,0,3300
28,25,1,1100
8,1,0,1900
7,0,0,4000
3,1,0,2500
4,1,0,5100
5,1,0,2900
8,0,1,802
18,1,0,1400
13,1,0,4200
9,1,0,875
20,1,0,1200
9,1,0,2000
16,17,0,5000
9,1,1,2100
31,9,0,715
4,1,0,1700
2,1,0,801
14,11,0,4200
4,0,1,1900
9,1,0,756
12,13,0,592
7,1,0,2600
14,1,0,1400
3,1,0,1100
7,11,0,1100
3,0,0,2300
7,1,0,1700
6,0,0,9100
28,11,0,5700
17,1,0,1800
1,0,0,7200
1,1,0,2200
3,14,0,671
34,11,0,1800
9,1,1,3500
7,1,0,2900
6,1,0,817
4,0,0,3400
16,11,0,1600
14,1,0,771
3,1,0,15800
4,1,0,794
12,1,0,465
9,1,2,2200
3,1,0,1700
4,1,14,577
26,0,1,17500
5,1,0,1100
8,1,0,2200
8,1,0,536
6,0,1,1900
5,8,0,3300
5,16,0,1300
14,1,0,5700
2,0,0,3100
2,0,1,701
3,0,0,8000
14,1,0,3600
3,1,0,1300
6,1,0,2900
9,1,2,1200
8,1,0,2400
9,0,0,3700
3,1,0,1500
11,1,1,5800
4,1,0,721
8,1,0,2700
5,1,0,1700
8,1,0,3400
11,1,0,2200
2,1,0,1400
47,20,0,1000
4,1,0,2100
6,1,0,1200
4,0,21,1300
8,1,0,561
14,11,1,2200
40,0,0,715
8,1,0,2900
8,1,1,2800
10,1,0,1800
5,0,1,930
15,1,0,1200
10,0,0,1100
5,1,0,1500
15,12,0,1500
17,5,1,1200
4,0,1,1800
8,1,0,1900
25,12,1,1500
5,1,0,1200
7,1,0,2000
4,1,0,2200
7,0,0,1200
2,1,0,1100
7,10,0,2700
22,11,0,2600
13,1,0,1300
10,8,0,3000
4,1,0,1900
1,0,1,7700
6,1,0,1300
48,1,0,2300
14,1,0,3200
12,1,0,3100
4,1,0,2400
4,0,0,3800
13,0,1,2600
4,1,0,3500
67,10,11,2800
